#parameter:Czz10
#unit:cm2/Hz
#date:20231010
#sensor:height
#Time in ms since start of day
780000,0.00,0.15,0.69,1.73,7.11,10.76,8.37,9.42,7.90,6.38,13.38,25.33,19.07,65.50,83.31,87.77,73.86,66.36,94.44,80.66,69.38,55.08,78.31,36.35,54.93,35.12,52.00,48.49,43.97,37.19,17.92,28.82,25.61,29.55,28.33,30.78,40.42,57.12,82.82,63.75,42.02,39.34,30.24,35.35,23.51,23.97,27.13,26.14,51.32,47.89,53.52
840000,0.00,0.34,1.20,3.37,4.07,4.79,7.95,9.58,7.71,7.98,9.22,18.66,36.93,80.39,56.87,99.45,71.20,71.03,81.81,52.34,85.91,67.04,43.66,42.57,37.98,41.03,69.45,60.86,67.42,63.28,19.69,37.48,31.54,21.98,34.21,35.42,42.24,48.26,77.80,68.68,52.35,26.16,35.87,41.49,26.51,27.49,36.37,40.39,53.35,58.04,63.99
900000,0.00,0.17,0.78,2.33,5.43,6.98,9.32,7.73,9.63,14.40,9.60,14.19,30.41,55.87,93.19,111.80,74.37,81.29,95.89,83.30,91.50,45.85,85.12,63.41,51.50,34.11,64.06,64.94,50.99,66.55,27.39,16.74,17.29,23.79,34.24,29.04,30.82,38.28,52.67,46.59,38.85,37.42,51.05,51.11,34.72,33.43,24.17,32.58,58.61,65.54,59.28
960000,0.00,0.22,0.46,2.33,5.83,5.34,6.19,12.81,8.70,8.10,10.91,22.68,23.73,59.58,69.99,98.75,78.96,73.70,85.27,86.59,78.08,67.75,86.27,43.85,34.47,33.84,70.65,75.51,48.05,59.58,57.10,24.18,26.20,29.15,26.41,28.91,52.47,67.90,58.78,37.43,38.89,24.96,43.10,35.78,27.02,27.55,37.91,31.90,58.13,43.35,82.31
1020000,0.00,0.36,1.30,3.70,5.87,6.31,10.50,6.33,11.31,11.24,12.38,21.94,26.67,70.67,76.20,130.52,55.47,77.18,90.38,71.03,95.26,59.88,55.60,61.30,43.02,32.49,73.91,89.01,42.43,52.53,47.43,22.19,25.38,25.97,31.78,28.75,39.24,36.79,58.23,58.62,40.98,39.27,58.35,50.25,41.29,23.56,25.40,32.42,54.10,50.93,65.25
1080000,0.00,0.18,0.79,2.42,10.94,8.51,9.21,8.33,7.11,8.21,12.79,18.99,34.56,75.82,93.26,112.22,56.26,66.99,102.20,61.23,83.83,80.49,71.70,43.82,41.91,29.03,63.43,70.12,43.37,60.69,36.75,18.78,21.34,19.55,27.49,27.89,36.58,52.57,68.61,37.94,37.49,34.38,45.60,45.60,20.81,19.78,22.99,25.05,35.92,66.28,68.45
1140000,0.00,0.17,0.82,3.41,5.74,6.94,4.50,8.04,9.00,8.07,11.41,14.13,31.36,92.95,76.12,97.32,89.36,51.26,91.57,76.88,102.37,57.26,71.70,53.92,45.12,37.56,73.84,85.94,48.60,65.57,49.51,34.48,36.81,32.75,44.08,30.60,49.29,36.78,52.97,31.10,42.64,29.08,49.65,53.91,27.71,17.57,16.35,46.68,59.84,70.12,101.74
1200000,0.00,0.15,1.18,2.64,8.67,6.70,10.42,10.04,15.32,10.27,14.44,12.57,24.22,76.51,117.74,116.52,87.79,56.10,95.30,91.91,68.08,41.65,151.83,65.30,55.41,33.32,60.47,93.28,62.11,74.12,48.28,27.54,21.62,23.73,30.68,31.30,32.68,44.54,60.12,33.40,42.49,39.77,65.33,49.65,42.98,32.75,24.71,33.04,58.29,82.11,73.58
1260000,0.00,0.18,0.98,3.46,5.47,6.39,5.08,12.09,11.97,8.61,6.83,26.47,37.52,63.25,134.61,91.93,65.61,67.85,97.05,81.28,75.81,71.65,149.02,54.03,24.67,30.43,72.85,72.96,52.60,66.62,46.10,47.88,31.48,22.18,21.59,29.47,42.81,66.30,55.96,31.08,31.91,51.46,66.38,52.01,34.63,25.72,24.62,38.88,48.97,55.08,52.43
1320000,0.00,0.14,0.50,2.88,6.08,5.89,10.36,8.79,13.96,12.49,9.52,14.94,23.36,70.15,105.40,110.04,86.84,65.21,81.49,79.94,78.82,48.96,144.05,75.42,46.65,39.52,66.50,80.91,42.84,46.54,50.46,35.43,22.45,23.43,42.02,41.28,60.64,69.00,48.18,46.22,49.05,35.31,75.73,54.08,42.31,28.98,42.73,29.71,58.17,66.99,57.76
