Time	heave [m]	DQF [-]	FQF [-]
2023-10-10T00:00:20.364Z	0.4522	1011111110000000	1
2023-10-10T00:00:20.464Z	0.4729	1011111110000000	1
2023-10-10T00:00:20.563Z	0.4638	1011111110000000	1
2023-10-10T00:00:20.662Z	0.4211	1011111110000000	1
2023-10-10T00:00:20.759Z	0.4802	1011111110000000	1
2023-10-10T00:00:20.857Z	0.4667	1011111110000000	1
2023-10-10T00:00:20.957Z	0.4278	1011111110000000	1
2023-10-10T00:00:21.060Z	0.4233	1011111110000000	1
2023-10-10T00:00:21.164Z	0.4418	1011111110000000	1
2023-10-10T00:00:21.266Z	0.4182	1011111110000000	1
2023-10-10T00:00:21.364Z	0.4208	1011111110000000	1
2023-10-10T00:00:21.461Z	0.4220	1011111110000000	1
2023-10-10T00:00:21.559Z	0.4342	1011111110000000	1
2023-10-10T00:00:21.657Z	0.4763	1011111110000000	1
2023-10-10T00:00:21.758Z	0.4416	1011111110000000	1
2023-10-10T00:00:21.861Z	0.4498	1011111110000000	1
2023-10-10T00:00:21.961Z	0.4614	1011111110000000	1
2023-10-10T00:00:22.060Z	0.4508	1011111110000000	1
2023-10-10T00:00:22.160Z	0.4779	1011111110000000	1
2023-10-10T00:00:22.261Z	0.4812	1011111110000000	1
2023-10-10T00:00:22.361Z	0.4742	1011111110000000	1
2023-10-10T00:00:22.462Z	0.4904	1011111110000000	1
2023-10-10T00:00:22.561Z	0.5069	1011111110000000	1
2023-10-10T00:00:22.662Z	0.4831	1011111110000000	1
2023-10-10T00:00:22.760Z	0.5007	1011111110000000	1
2023-10-10T00:00:22.863Z	0.5361	1011111110000000	1
2023-10-10T00:00:22.964Z	0.5412	1011111110000000	1
2023-10-10T00:00:23.060Z	0.5279	1011111110000000	1
2023-10-10T00:00:23.159Z	0.5725	1011111110000000	1
2023-10-10T00:00:23.259Z	0.4649	1011111110000000	1
2023-10-10T00:00:23.359Z	0.4691	1011111110000000	1
2023-10-10T00:00:23.463Z	0.5413	1011111110000000	1
2023-10-10T00:00:23.564Z	0.4694	1011111110000000	1
2023-10-10T00:00:23.664Z	0.4992	1011111110000000	1
2023-10-10T00:00:23.764Z	0.5967	1011111110000000	1
2023-10-10T00:00:23.862Z	0.5370	1011111110000000	1
2023-10-10T00:00:23.960Z	0.5549	1011111110000000	1
2023-10-10T00:00:24.058Z	0.5210	1011111110000000	1
2023-10-10T00:00:24.157Z	0.5530	1011111110000000	1
2023-10-10T00:00:24.260Z	0.4847	1011111110000000	1
2023-10-10T00:00:24.361Z	0.4257	1011111110000000	1
2023-10-10T00:00:24.464Z	0.4498	1011111110000000	1
