Time	FREQUENCY [Hz]	DELTA_FREQUENCY [Hz]	VSPEC1D [m2 s]	DQF [-]	FQF [-]
2024-11-16T00:03:00.000Z	0.040	0.010	0.018034	1010000000100000	1
2024-11-16T00:03:00.000Z	0.050	0.010	0.039140	1010000000100000	1
2024-11-16T00:03:00.000Z	0.060	0.010	0.267754	1010000000100000	1
2024-11-16T00:03:00.000Z	0.070	0.010	0.540451	1010000000100000	1
2024-11-16T00:03:00.000Z	0.080	0.010	0.427781	1010000000100000	1
2024-11-16T00:03:00.000Z	0.090	0.010	0.535380	1010000000100000	1
2024-11-16T00:03:00.000Z	0.100	0.010	0.394792	1010000000100000	1
2024-11-16T00:03:00.000Z	0.110	0.010	0.464775	1010000000100000	1
2024-11-16T00:03:00.000Z	0.120	0.010	0.794074	1010000000100000	1
2024-11-16T00:03:00.000Z	0.130	0.010	1.486397	1010000000100000	1
2024-11-16T00:03:00.000Z	0.140	0.010	6.470707	1010000000100000	1
2024-11-16T00:03:00.000Z	0.150	0.010	5.364250	1010000000100000	1
2024-11-16T00:03:00.000Z	0.160	0.010	4.613071	1010000000100000	1
2024-11-16T00:03:00.000Z	0.170	0.010	4.243043	1010000000100000	1
2024-11-16T00:03:00.000Z	0.180	0.010	3.051125	1010000000100000	1
2024-11-16T00:03:00.000Z	0.190	0.010	1.521888	1010000000100000	1
2024-11-16T00:03:00.000Z	0.200	0.010	1.077690	1010000000100000	1
2024-11-16T00:03:00.000Z	0.210	0.010	1.253602	1010000000100000	1
2024-11-16T00:03:00.000Z	0.220	0.010	1.234843	1010000000100000	1
2024-11-16T00:03:00.000Z	0.230	0.010	0.622954	1010000000100000	1
2024-11-16T00:03:00.000Z	0.240	0.010	0.669815	1010000000100000	1
2024-11-16T00:03:00.000Z	0.250	0.010	0.565419	1010000000100000	1
2024-11-16T00:03:00.000Z	0.260	0.010	0.426519	1010000000100000	1
2024-11-16T00:03:00.000Z	0.270	0.010	0.457736	1010000000100000	1
2024-11-16T00:03:00.000Z	0.280	0.010	0.270756	1010000000100000	1
2024-11-16T00:03:00.000Z	0.290	0.010	0.326887	1010000000100000	1
2024-11-16T00:03:00.000Z	0.300	0.010	0.360722	1010000000100000	1
2024-11-16T00:03:00.000Z	0.310	0.010	0.185073	1010000000100000	1
2024-11-16T00:03:00.000Z	0.320	0.010	0.204152	1010000000100000	1
2024-11-16T00:03:00.000Z	0.330	0.010	0.140884	1010000000100000	1
2024-11-16T00:03:00.000Z	0.340	0.010	0.112588	1010000000100000	1
2024-11-16T00:03:00.000Z	0.350	0.010	0.059591	1010000000100000	1
2024-11-16T00:03:00.000Z	0.360	0.010	0.036389	1010000000100000	1
2024-11-16T00:03:00.000Z	0.370	0.010	0.064751	1010000000100000	1
2024-11-16T00:03:00.000Z	0.380	0.010	0.094448	1010000000100000	1
2024-11-16T00:03:00.000Z	0.390	0.010	0.096656	1010000000100000	1
2024-11-16T00:03:00.000Z	0.400	0.010	0.097218	1010000000100000	1
2024-11-16T00:03:00.000Z	0.410	0.010	0.060118	1010000000100000	1
2024-11-16T00:03:00.000Z	0.420	0.010	0.065228	1010000000100000	1
2024-11-16T00:03:00.000Z	0.430	0.010	0.039112	1010000000100000	1
2024-11-16T00:03:00.000Z	0.440	0.010	0.023343	1010000000100000	1
2024-11-16T00:03:00.000Z	0.450	0.010	0.039899	1010000000100000	1
2024-11-16T00:03:00.000Z	0.460	0.010	0.037583	1010000000100000	1
2024-11-16T00:03:00.000Z	0.470	0.010	0.031493	1010000000100000	1
2024-11-16T00:03:00.000Z	0.480	0.010	0.034904	1010000000100000	1
2024-11-16T00:03:00.000Z	0.490	0.010	0.041525	1010000000100000	1
2024-11-16T00:03:00.000Z	0.500	0.005	0.023457	1010000000100000	1
2024-11-16T00:04:00.000Z	0.000	0.005	0.000000	1010000000100000	1
2024-11-16T00:04:00.000Z	0.010	0.010	0.000481	1010000000100000	1
2024-11-16T00:04:00.000Z	0.020	0.010	0.001972	1010000000100000	1
2024-11-16T00:04:00.000Z	0.030	0.010	0.006965	1010000000100000	1
2024-11-16T00:04:00.000Z	0.040	0.010	0.013607	1010000000100000	1
2024-11-16T00:04:00.000Z	0.050	0.010	0.049983	1010000000100000	1
2024-11-16T00:04:00.000Z	0.060	0.010	0.418990	1010000000100000	1
