Time	heave [m]	DQF [-]	FQF [-]
2024-11-16T00:14:48.821Z	-0.1500	1011111110000000	1
2024-11-16T00:14:49.211Z	 0.2243	1011111110000000	1
2024-11-16T00:14:49.601Z	 0.4760	1011111110000000	1
2024-11-16T00:14:49.991Z	 0.3593	1011111110000000	1
2024-11-16T00:14:50.381Z	 0.1329	1011111110000000	1
2024-11-16T00:14:50.771Z	 0.3296	1011111110000000	1
2024-11-16T00:14:51.161Z	 0.6704	1011111110000000	1
2024-11-16T00:14:51.551Z	 0.6921	1011111110000000	1
2024-11-16T00:14:51.941Z	 0.6547	1011111110000000	1
2024-11-16T00:14:52.331Z	 0.6281	1011111110000000	1
2024-11-16T00:14:52.721Z	 0.3825	1011111110000000	1
2024-11-16T00:14:53.111Z	 0.2339	1011111110000000	1
2024-11-16T00:14:53.501Z	 0.2073	1011111110000000	1
2024-11-16T00:14:53.891Z	 0.2644	1011111110000000	1
2024-11-16T00:14:54.281Z	-0.1846	1011111110000000	1
2024-11-16T00:14:54.671Z	-0.3973	1011111110000000	1
2024-11-16T00:14:55.061Z	-0.5543	1011111110000000	1
2024-11-16T00:14:55.451Z	-0.7981	1011111110000000	1
2024-11-16T00:14:55.841Z	-0.9226	1011111110000000	1
2024-11-16T00:14:56.231Z	-1.2507	1011111110000000	1
2024-11-16T00:14:56.621Z	-1.1979	1011111110000000	1
2024-11-16T00:14:57.011Z	-0.5300	1011111110000000	1
2024-11-16T00:14:57.401Z	 0.0443	1011111110000000	1
2024-11-16T00:14:57.791Z	 0.3547	1011111110000000	1
2024-11-16T00:14:58.181Z	 1.0633	1011111110000000	1
2024-11-16T00:14:58.571Z	 1.0831	1011111110000000	1
2024-11-16T00:14:58.961Z	 1.2457	1011111110000000	1
2024-11-16T00:14:59.351Z	 1.3424	1011111110000000	1
2024-11-16T00:14:59.741Z	 1.0986	1011111110000000	1
2024-11-16T00:15:00.131Z	 0.6874	1011111110000000	1
2024-11-16T00:15:00.521Z	-0.0371	1011111110000000	1
2024-11-16T00:15:00.911Z	-0.3513	1011111110000000	1
2024-11-16T00:15:01.301Z	-0.5957	1011111110000000	1
2024-11-16T00:15:01.691Z	-0.4616	1011111110000000	1
2024-11-16T00:15:02.081Z	-0.2621	1011111110000000	1
2024-11-16T00:15:02.471Z	-0.0617	1011111110000000	1
2024-11-16T00:15:02.861Z	-0.0374	1011111110000000	1
2024-11-16T00:15:03.252Z	 0.1852	1011111110000000	1
2024-11-16T00:15:03.642Z	-0.0048	1011111110000000	1
2024-11-16T00:15:04.032Z	 0.1823	1011111110000000	1
2024-11-16T00:15:04.422Z	 0.1611	1011111110000000	1
2024-11-16T00:15:04.812Z	 0.2253	1011111110000000	1
2024-11-16T00:15:05.202Z	 0.3814	1011111110000000	1
2024-11-16T00:15:05.592Z	 0.4468	1011111110000000	1
2024-11-16T00:15:05.982Z	 0.1138	1011111110000000	1
2024-11-16T00:15:06.372Z	 0.0851	1011111110000000	1
2024-11-16T00:15:06.762Z	-0.4090	1011111110000000	1
2024-11-16T00:15:07.152Z	-0.3641	1011111110000000	1
2024-11-16T00:15:07.542Z	-0.3138	1011111110000000	1
2024-11-16T00:15:07.932Z	-0.0079	1011111110000000	1
2024-11-16T00:15:08.322Z	 0.0124	1011111110000000	1
2024-11-16T00:15:08.712Z	-0.0647	1011111110000000	1
2024-11-16T00:15:09.102Z	-0.0170	1011111110000000	1
2024-11-16T00:15:09.492Z	 0.1563	1011111110000000	1
2024-11-16T00:15:09.882Z	 0.4899	1011111110000000	1
2024-11-16T00:15:10.272Z	 0.6572	1011111110000000	1
2024-11-16T00:15:10.662Z	 0.7255	1011111110000000	1
2024-11-16T00:15:11.052Z	 0.2774	1011111110000000	1
2024-11-16T00:15:11.442Z	 0.0019	1011111110000000	1
2024-11-16T00:15:11.832Z	-0.2013	1011111110000000	1
2024-11-16T00:15:12.222Z	-0.5740	1011111110000000	1
2024-11-16T00:15:12.612Z	-0.5154	1011111110000000	1
2024-11-16T00:15:13.002Z	-0.4121	1011111110000000	1
2024-11-16T00:15:13.392Z	-0.2885	1011111110000000	1
2024-11-16T00:15:13.782Z	 0.0314	1011111110000000	1
