Time	heave [m]	north [m]	west [m]	status [-]	despiked [m]	DQF [-]	FQF [-]
2020-09-01T00:01:32.928Z	-0.3300	-0.4000	-0.0900	0	-0.3300	1011111111000000	1
2020-09-01T00:01:33.709Z	-0.3400	 0.0200	-0.0500	0	-0.3400	1011111111000000	1
2020-09-01T00:01:34.490Z	 0.4900	-0.2400	 0.1700	0	 0.4900	1011111111000000	1
2020-09-01T00:01:35.271Z	 0.2100	-0.4800	 0.1500	0	 0.2100	1011111111000000	1
2020-09-01T00:01:36.052Z	-0.0900	-0.3800	 0.0900	0	-0.0900	1011111111000000	1
2020-09-01T00:01:36.833Z	-0.1200	-0.3200	-0.0100	0	-0.1200	1011111111000000	1
2020-09-01T00:01:37.614Z	 0.1200	-0.2600	 0.0900	0	 0.1200	1011111111000000	1
2020-09-01T00:01:38.395Z	-0.1700	-0.3000	-0.0600	0	-0.1700	1011111111000000	1
2020-09-01T00:01:39.176Z	-0.2100	-0.0100	-0.2600	0	-0.2100	1011111111000000	1
2020-09-01T00:01:39.957Z	 0.1100	 0.1400	-0.1600	0	 0.1100	1011111111000000	1
2020-09-01T00:01:40.738Z	 0.1800	-0.0500	 0.0600	0	 0.1800	1011111111000000	1
2020-09-01T00:01:41.518Z	-0.1500	 0.1500	-0.0400	0	-0.1500	1011111111000000	1
2020-09-01T00:01:42.299Z	 0.1300	 0.3200	-0.2000	0	 0.1300	1011111111000000	1
2020-09-01T00:01:43.080Z	 0.0500	 0.2300	 0.1800	0	 0.0500	1011111111000000	1
2020-09-01T00:01:43.861Z	-0.1800	 0.2900	 0.1500	0	-0.1800	1011111111000000	1
2020-09-01T00:01:44.642Z	 0.0400	 0.0800	-0.0400	0	 0.0400	1011111111000000	1
2020-09-01T00:01:45.423Z	-0.2400	 0.1400	-0.1000	0	-0.2400	1011111111000000	1
2020-09-01T00:01:46.204Z	 0.0500	 0.3500	-0.0600	0	 0.0500	1011111111000000	1
2020-09-01T00:01:46.985Z	 0.1000	 0.1500	 0.1200	0	 0.1000	1011111111000000	1
2020-09-01T00:01:47.766Z	 0.0600	 0.1000	 0.1100	0	 0.0600	1011111111000000	1
2020-09-01T00:01:48.547Z	 0.1400	 0.1400	 0.0600	0	 0.1400	1011111111000000	1
2020-09-01T00:01:49.328Z	-0.1200	-0.0400	-0.0300	0	-0.1200	1011111111000000	1
2020-09-01T00:01:50.108Z	-0.4200	 0.2300	-0.0700	0	-0.4200	1011111111000000	1
2020-09-01T00:01:50.889Z	-0.0600	 0.3900	-0.1600	0	-0.0600	1011111111000000	1
2020-09-01T00:01:51.670Z	 0.5000	 0.1900	-0.0500	0	 0.5000	1011111111000000	1
2020-09-01T00:01:52.451Z	 0.3500	-0.1000	 0.0300	0	 0.3500	1011111111000000	1
2020-09-01T00:01:53.232Z	-0.3700	-0.1400	 0.0900	0	-0.3700	1011111111000000	1
2020-09-01T00:01:54.013Z	-0.3600	 0.3500	 0.1200	0	-0.3600	1011111111000000	1
2020-09-01T00:01:54.794Z	 0.4200	-0.0500	 0.0400	0	 0.4200	1011111111000000	1
2020-09-01T00:01:55.575Z	 0.1400	-0.5800	 0.1000	0	 0.1400	1011111111000000	1
2020-09-01T00:01:56.356Z	-0.2000	-0.4400	 0.0000	0	-0.2000	1011111111000000	1
2020-09-01T00:01:57.137Z	-0.0800	-0.2600	-0.0300	0	-0.0800	1011111111000000	1
2020-09-01T00:01:57.918Z	 0.1400	-0.1600	 0.1400	0	 0.1400	1011111111000000	1
2020-09-01T00:01:58.698Z	 0.1000	-0.3100	 0.2200	0	 0.1000	1011111111000000	1
2020-09-01T00:01:59.479Z	-0.1600	-0.3000	-0.0500	0	-0.1600	1011111111000000	1
2020-09-01T00:02:00.260Z	-0.0400	-0.1400	-0.1700	0	-0.0400	1011111111000000	1
